stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"20240","MERCOGLIANO- SPREGAMORE","41.734571708327","12.5562521116906","0",""
"20265","OSLAVIA/BAINSIZZA","41.9188996811191","12.4615484704818","0",""
"20288","LEVI CIVITA","41.8555878090269","12.4730640542701","0",""
"20295","MAMELI","41.8880481799359","12.4676063221001","0",""
"20296","GARIBALDI- IACOBUCCI","41.8884670661588","12.4660051354144","0",""
"20298","GARIBALDI- FABRIZI","41.8876247161461","12.4661100397457","0",""
"20300","CHIODELLI- CORBELLINI","41.9078787455059","12.6624249003661","0",""
"20303","TIBURTINA- COLLI SUL VELINO","41.9378008595656","12.6232347906449","0",""
"20305","TIBURTINA- PORTONACCIO","41.9083709730981","12.535125160167","0",""
"20308","ACQUEDOTTO DEL PESCHIERA","41.9364707622006","12.4253459570837","0",""
"20311","TALEGGIO- MORBEGNO","41.9505211335251","12.3811054808855","0",""
"20313","BOSTON","41.8290321832209","12.4712333986525","0",""
"20321","BOSTON","41.8296861052255","12.4717491850517","0",""
"20322","MARMORALE- MARAVIGNA","41.9820954786971","12.5599650878885","0",""
"20323","MAMELI","41.8883893588137","12.4675590926743","0",""
"20332","CIVITACAMPOMARANO- CASE ROSSE","41.9320006320101","12.6430363903943","0",""
"20336","CLODIO","41.9175006269486","12.455468946736","0",""
"20344","TRINITA' DEI MONTI","41.9062190589551","12.4833515187211","0",""
"20350","GARIBALDI- IACOBUCCI","41.8883909859553","12.4657797668359","0",""
"20353","SANT'ARCANGELO DI ROMAGNA","41.7899329884058","12.4077851236683","0",""
"20354","STAZIONE GROTTAROSSA","41.9640068979165","12.4889642563227","0",""
"20357","STAZIONE TIBURTINA","41.9091004316607","12.5307674606531","0",""
"20360","COLLI SUL VELINO","41.9372115619508","12.624558120344","0",""
"20368","MAR ROSSO- MARE DI BERING","41.7335755064469","12.2990238751013","0",""
"20369","LAURENTINA- CIMITERO LAURENTINO","41.7641654108484","12.4980760876771","0",""
"20370","LAURENTINA- MANDRIOLA","41.7612609853939","12.5000506727474","0",""
"20371","LAURENTINA- BELLOSGUARDO","41.7419795524788","12.5037495857727","0",""
"20373","LAURENTINA- ALPE","41.7286211098466","12.506507849713","0",""
"20374","LAURENTINA- CIVICO 1569","41.7457294602047","12.5034679625386","0",""
"20375","LAURENTINA- CIMITERO LAURENTINO","41.7637144769354","12.4991122914798","0",""
"20379","BELLA VILLA","41.8732003594083","12.5778511993373","0",""
"20387","QUATTRO VENTI- REGNOLI","41.8836601902407","12.4587328819651","0",""
"20388","GRA","41.8576987967497","12.3767551403327","0",""
"20389","COLOSSEO","41.891312680316","12.4923331442761","0",""
"20393","RUBELLIA","41.9391213502897","12.623412509465","0",""
"20397","NUVOLARI","41.8350290426466","12.5088782281354","0",""
"20398","VIA CORNELIA- VILLATA","41.8997423749961","12.3893617699466","0",""
"20399","COLOMBO- GRA","41.8001103706362","12.4414899589575","0",""
"20400","OCEANO PACIFICO- VELODROMO","41.8249802008269","12.4560776634967","0",""
"20408","LODI","41.8869517317858","12.5190878658488","0",""
"20409","TEANO- METRO C","41.8902046794554","12.5511182845312","0",""
"20416","PORTA SAN SEBASTIANO- SEPOLCRO SCIPIONI","41.8738004791814","12.5013609389287","0",""
"20423","VINCI","41.9373997159189","12.4186956386406","0",""
"20424","PITAGORA","41.9215534594386","12.4896555675005","0",""
"20435","VENEZUELA- INDIA","41.9330117864489","12.4782981936489","0",""
"20441","UMBERTO I- CASTELLO","41.7604391095432","12.3025878341741","0",""
"20468","MAR ROSSO- MARE GLACIALE ARTICO","41.7321433267598","12.3024520642646","0",""
"20488","BUAZZELLI- FABBRI","41.9404286511871","12.5669692138817","0",""
"20489","NAIDE- NICANDRO","41.9156066516734","12.6054147678156","0",""
"20501","CAMBELLOTTI","41.8694378800546","12.6319747739222","0",""
"30427","CIMITERO- VIALE UFFICI","42.008468899958","12.4934942227077","0",""
"30429","NOMENTANA- MONTE ARGENTARIO","41.9995501751544","12.629235318382","0",""
"30432","PAOLA","41.9000733753292","12.4656003630273","0",""
"30434","GREGORIO SETTIMO- DI PIETRO","41.896230197484","12.4421568394714","0",""
"30435","GREGORIO SETTIMO- SAN DAMASO","41.8955809187545","12.4448643868251","0",""
"30436","GREGORIO SETTIMO- SAN DAMASO","41.8959276211354","12.4448133137297","0",""
"30437","GREGORIO SETTIMO- DI PIETRO","41.8965145572143","12.4414936926391","0",""
"30440","PRENESTINA- BRESADOLA","41.8947220823178","12.5604749295363","0",""
