service_id,date,exception_type
"766_45086","20160318","1"
"766_45086","20160321","1"
"766_45086","20160322","1"
"766_45086","20160323","1"
"766_45086","20160330","1"
"766_45086","20160331","1"
"766_45086","20160401","1"
"766_45086","20160404","1"
"766_45086","20160405","1"
"766_45086","20160406","1"
"766_45086","20160407","1"
"766_45086","20160408","1"
"766_45086","20160411","1"
"766_45086","20160412","1"
"766_45086","20160413","1"
"766_45086","20160414","1"
"766_45086","20160415","1"
"766_45086","20160418","1"
"766_45086","20160419","1"
"766_45086","20160420","1"
"766_45086","20160421","1"
"766_45086","20160422","1"
"766_45086","20160426","1"
"766_45086","20160427","1"
"766_45086","20160428","1"
"766_45086","20160429","1"
"766_45086","20160502","1"
"766_45086","20160503","1"
"766_45086","20160504","1"
"766_45086","20160505","1"
"766_45086","20160506","1"
"766_45086","20160509","1"
"766_45086","20160510","1"
"766_45086","20160511","1"
"766_45086","20160512","1"
"766_45086","20160513","1"
"766_46123","20160314","1"
"766_46123","20160315","1"
"766_46123","20160316","1"
"766_46123","20160317","1"
"766_46123","20160318","1"
"766_46123","20160321","1"
"766_46123","20160322","1"
"766_46123","20160323","1"
"766_46123","20160330","1"
"766_46123","20160331","1"
"766_46123","20160401","1"
"766_46123","20160404","1"
"766_46123","20160405","1"
"766_46123","20160406","1"
"766_46123","20160407","1"
"766_46123","20160408","1"
"766_46123","20160411","1"
"766_46123","20160412","1"
"766_46123","20160413","1"
"766_46123","20160414","1"
"766_46123","20160415","1"
"766_46123","20160418","1"
"766_46123","20160419","1"
"766_46123","20160420","1"
"766_46123","20160421","1"
"766_46123","20160422","1"
"766_46123","20160426","1"
"766_46123","20160427","1"
"766_46123","20160428","1"
"766_46123","20160429","1"
"766_46123","20160502","1"
"766_46123","20160503","1"
"766_46123","20160504","1"
"766_46123","20160505","1"
"766_46123","20160506","1"
"766_46123","20160509","1"
"766_46123","20160510","1"
"766_46123","20160511","1"
"766_46123","20160512","1"
"766_46123","20160513","1"
"766_46328","20160314","1"
"766_46328","20160315","1"
"766_46328","20160316","1"
"766_46328","20160317","1"
"766_46328","20160318","1"
"766_46328","20160321","1"
"766_46328","20160322","1"
"766_46328","20160323","1"
"766_46328","20160330","1"
"766_46328","20160331","1"
"766_46328","20160401","1"
"766_46328","20160404","1"
"766_46328","20160405","1"
"766_46328","20160406","1"
"766_46328","20160407","1"
"766_46328","20160408","1"
"766_46328","20160411","1"
"766_46328","20160412","1"
"766_46328","20160413","1"
"766_46328","20160414","1"
"766_46328","20160415","1"
"766_46328","20160418","1"
"766_46328","20160419","1"
"766_46328","20160420","1"
"766_46328","20160421","1"
"766_46328","20160422","1"
"766_46328","20160426","1"
"766_46328","20160427","1"
"766_46328","20160428","1"
"766_46328","20160429","1"
"766_46328","20160502","1"
"766_46328","20160503","1"
"766_46328","20160504","1"
"766_46328","20160505","1"
"766_46328","20160506","1"
"766_46328","20160509","1"
"766_46328","20160510","1"
"766_46328","20160511","1"
"766_46328","20160512","1"
"766_46328","20160513","1"
"766_46473","20160320","1"
"766_46473","20160327","1"
"766_46473","20160328","1"
"766_46473","20160403","1"
"766_46473","20160410","1"
"766_46473","20160417","1"
"766_46473","20160424","1"
"766_46473","20160425","1"
"766_46473","20160508","1"
"766_46858","20160319","1"
"766_46858","20160324","1"
"766_46858","20160325","1"
"766_46858","20160326","1"
"766_46858","20160402","1"
"766_46858","20160409","1"
"766_46858","20160416","1"
"766_46858","20160423","1"
"766_46858","20160430","1"
"766_46858","20160507","1"
"766_46858","20160514","1"
"766_47530","20160324","1"
"766_47530","20160325","1"
"766_47532","20160320","1"
"766_47532","20160327","1"
"766_47532","20160328","1"
"766_47532","20160403","1"
"766_47532","20160410","1"
"766_47532","20160417","1"
"766_47532","20160424","1"
"766_47532","20160425","1"
"766_47532","20160508","1"
"766_47533","20160319","1"
"766_47533","20160326","1"
"766_47533","20160402","1"
"766_47533","20160409","1"
"766_47533","20160416","1"
"766_47533","20160423","1"
"766_47533","20160430","1"
"766_47533","20160507","1"
"766_47533","20160514","1"
"766_47575","20160320","1"
"766_47575","20160327","1"
"766_47575","20160328","1"
"766_47575","20160403","1"
"766_47575","20160410","1"
"766_47575","20160417","1"
"766_47575","20160424","1"
"766_47575","20160425","1"
"766_47575","20160508","1"
"766_48421","20160319","1"
"766_48421","20160326","1"
"766_48421","20160402","1"
"766_48421","20160409","1"
"766_48421","20160416","1"
"766_48421","20160423","1"
"766_48421","20160430","1"
"766_48421","20160507","1"
"766_48421","20160514","1"
"766_48501","20160314","1"
"766_48501","20160315","1"
"766_48501","20160316","1"
"766_48501","20160317","1"
"766_48501","20160318","1"
"766_48501","20160321","1"
"766_48501","20160322","1"
"766_48501","20160323","1"
"766_48501","20160324","1"
"766_48501","20160325","1"
"766_48501","20160329","1"
"766_48501","20160330","1"
"766_48501","20160331","1"
"766_48501","20160401","1"
"766_48501","20160404","1"
"766_48501","20160405","1"
"766_48501","20160406","1"
"766_48501","20160407","1"
"766_48501","20160408","1"
"766_48501","20160411","1"
"766_48501","20160412","1"
"766_48501","20160413","1"
"766_48501","20160414","1"
"766_48501","20160415","1"
"766_48501","20160418","1"
"766_48501","20160419","1"
"766_48501","20160420","1"
"766_48501","20160421","1"
"766_48501","20160422","1"
"766_48501","20160426","1"
"766_48501","20160427","1"
"766_48501","20160428","1"
"766_48501","20160429","1"
"766_48501","20160502","1"
"766_48501","20160503","1"
"766_48501","20160504","1"
"766_48501","20160505","1"
"766_48501","20160506","1"
"766_48501","20160509","1"
"766_48501","20160510","1"
"766_48501","20160511","1"
"766_48501","20160512","1"
"766_48501","20160513","1"
"766_48561","20160319","1"
"766_48561","20160326","1"
"766_48561","20160402","1"
"766_48561","20160409","1"
"766_48561","20160416","1"
"766_48561","20160423","1"
"766_48561","20160430","1"
"766_48561","20160507","1"
"766_48561","20160514","1"
"766_49470","20160314","1"
"766_49470","20160315","1"
"766_49470","20160316","1"
"766_49470","20160317","1"
"766_49470","20160318","1"
"766_49470","20160321","1"
"766_49470","20160322","1"
"766_49470","20160323","1"
"766_49470","20160329","1"
"766_49470","20160330","1"
"766_49470","20160331","1"
"766_49470","20160401","1"
"766_49470","20160404","1"
"766_49470","20160405","1"
"766_49470","20160406","1"
"766_49470","20160407","1"
"766_49470","20160408","1"
"766_49470","20160411","1"
"766_49470","20160412","1"
"766_49470","20160413","1"
"766_49470","20160414","1"
"766_49470","20160415","1"
"766_49470","20160418","1"
"766_49470","20160419","1"
"766_49470","20160420","1"
"766_49470","20160421","1"
"766_49470","20160422","1"
"766_49470","20160426","1"
"766_49470","20160427","1"
"766_49470","20160428","1"
"766_49470","20160429","1"
"766_49470","20160502","1"
"766_49470","20160503","1"
"766_49470","20160504","1"
"766_49470","20160505","1"
"766_49470","20160506","1"
"766_49470","20160509","1"
"766_49470","20160510","1"
"766_49470","20160511","1"
"766_49470","20160512","1"
"766_49470","20160513","1"
"766_49471","20160319","1"
"766_49471","20160324","1"
"766_49471","20160325","1"
"766_49471","20160326","1"
"766_49471","20160402","1"
"766_49471","20160409","1"
"766_49471","20160416","1"
"766_49471","20160423","1"
"766_49471","20160430","1"
"766_49471","20160507","1"
"766_49471","20160514","1"
"766_49472","20160314","1"
"766_49472","20160315","1"
"766_49472","20160316","1"
"766_49472","20160317","1"
"766_49472","20160318","1"
"766_49472","20160321","1"
"766_49472","20160322","1"
"766_49472","20160323","1"
"766_49472","20160330","1"
"766_49472","20160331","1"
"766_49472","20160401","1"
"766_49472","20160404","1"
"766_49472","20160405","1"
"766_49472","20160406","1"
"766_49472","20160407","1"
"766_49472","20160408","1"
"766_49472","20160411","1"
"766_49472","20160412","1"
"766_49472","20160413","1"
"766_49472","20160414","1"
"766_49472","20160415","1"
"766_49472","20160418","1"
"766_49472","20160419","1"
"766_49472","20160420","1"
"766_49472","20160421","1"
"766_49472","20160422","1"
"766_49472","20160426","1"
"766_49472","20160427","1"
"766_49472","20160428","1"
"766_49472","20160429","1"
"766_49472","20160502","1"
"766_49472","20160503","1"
"766_49472","20160504","1"
"766_49472","20160505","1"
"766_49472","20160506","1"
"766_49472","20160509","1"
"766_49472","20160510","1"
"766_49472","20160511","1"
"766_49472","20160512","1"
"766_49472","20160513","1"
"766_49772","20160324","1"
"766_49772","20160325","1"
"766_49773","20160314","1"
"766_49773","20160315","1"
"766_49773","20160316","1"
"766_49773","20160317","1"
"766_49773","20160318","1"
"766_49773","20160321","1"
"766_49773","20160322","1"
"766_49773","20160323","1"
"766_49773","20160329","1"
"766_49773","20160330","1"
"766_49773","20160331","1"
"766_49773","20160401","1"
"766_49773","20160404","1"
"766_49773","20160405","1"
"766_49773","20160406","1"
"766_49773","20160407","1"
"766_49773","20160408","1"
"766_49773","20160411","1"
"766_49773","20160412","1"
"766_49773","20160413","1"
"766_49773","20160414","1"
"766_49773","20160415","1"
"766_49773","20160418","1"
"766_49773","20160419","1"
"766_49773","20160420","1"
"766_49773","20160421","1"
"766_49773","20160422","1"
"766_49773","20160426","1"
"766_49773","20160427","1"
"766_49773","20160428","1"
"766_49773","20160429","1"
"766_49773","20160502","1"
"766_49773","20160503","1"
"766_49773","20160504","1"
"766_49773","20160505","1"
"766_49773","20160506","1"
"766_49773","20160509","1"
"766_49773","20160510","1"
"766_49773","20160511","1"
"766_49773","20160512","1"
"766_49773","20160513","1"
"766_49774","20160320","1"
"766_49774","20160327","1"
"766_49774","20160328","1"
"766_49774","20160403","1"
"766_49774","20160410","1"
"766_49774","20160417","1"
"766_49774","20160424","1"
"766_49774","20160425","1"
"766_49774","20160508","1"
"766_49775","20160319","1"
"766_49775","20160326","1"
"766_49775","20160402","1"
"766_49775","20160409","1"
"766_49775","20160416","1"
"766_49775","20160423","1"
"766_49775","20160430","1"
"766_49775","20160507","1"
"766_49775","20160514","1"
"766_49855","20160314","1"
"766_49855","20160315","1"
"766_49855","20160316","1"
"766_49855","20160317","1"
"766_49855","20160318","1"
"766_49855","20160321","1"
"766_49855","20160322","1"
"766_49855","20160323","1"
"766_49855","20160329","1"
"766_49855","20160330","1"
"766_49855","20160331","1"
"766_49855","20160401","1"
"766_49855","20160404","1"
"766_49855","20160405","1"
"766_49855","20160406","1"
"766_49855","20160407","1"
"766_49855","20160408","1"
"766_49855","20160411","1"
"766_49855","20160412","1"
"766_49855","20160413","1"
"766_49855","20160414","1"
"766_49855","20160415","1"
"766_49855","20160418","1"
"766_49855","20160419","1"
"766_49855","20160420","1"
"766_49855","20160421","1"
"766_49855","20160422","1"
"766_49855","20160426","1"
"766_49855","20160427","1"
"766_49855","20160428","1"
"766_49855","20160429","1"
"766_49855","20160502","1"
"766_49855","20160503","1"
"766_49855","20160504","1"
"766_49855","20160505","1"
"766_49855","20160506","1"
"766_49855","20160509","1"
"766_49855","20160510","1"
"766_49855","20160511","1"
"766_49855","20160512","1"
"766_49855","20160513","1"
"766_49856","20160320","1"
"766_49856","20160327","1"
"766_49856","20160328","1"
"766_49856","20160403","1"
"766_49856","20160410","1"
"766_49856","20160417","1"
"766_49856","20160424","1"
"766_49856","20160425","1"
"766_49856","20160508","1"
"766_49857","20160319","1"
"766_49857","20160324","1"
"766_49857","20160325","1"
"766_49857","20160326","1"
"766_49857","20160402","1"
"766_49857","20160409","1"
"766_49857","20160416","1"
"766_49857","20160423","1"
"766_49857","20160430","1"
"766_49857","20160507","1"
"766_49857","20160514","1"
"766_51931","20160320","1"
"766_51931","20160327","1"
"766_51931","20160328","1"
"766_51931","20160403","1"
"766_51931","20160410","1"
"766_51931","20160417","1"
"766_51931","20160424","1"
"766_51931","20160425","1"
"766_51931","20160508","1"
"766_51932","20160319","1"
"766_51932","20160324","1"
"766_51932","20160325","1"
"766_51932","20160326","1"
"766_51932","20160402","1"
"766_51932","20160409","1"
"766_51932","20160416","1"
"766_51932","20160423","1"
"766_51932","20160430","1"
"766_51932","20160507","1"
"766_51932","20160514","1"
"766_52338","20160314","1"
"766_52338","20160315","1"
"766_52338","20160316","1"
"766_52338","20160317","1"
"766_52338","20160318","1"
"766_52338","20160321","1"
"766_52338","20160322","1"
"766_52338","20160323","1"
"766_52338","20160330","1"
"766_52338","20160331","1"
"766_52338","20160401","1"
"766_52338","20160404","1"
"766_52338","20160405","1"
"766_52338","20160406","1"
"766_52338","20160407","1"
"766_52338","20160408","1"
"766_52338","20160411","1"
"766_52338","20160412","1"
"766_52338","20160413","1"
"766_52338","20160414","1"
"766_52338","20160415","1"
"766_52338","20160418","1"
"766_52338","20160419","1"
"766_52338","20160420","1"
"766_52338","20160421","1"
"766_52338","20160422","1"
"766_52338","20160426","1"
"766_52338","20160427","1"
"766_52338","20160428","1"
"766_52338","20160429","1"
"766_52338","20160502","1"
"766_52338","20160503","1"
"766_52338","20160504","1"
"766_52338","20160505","1"
"766_52338","20160506","1"
"766_52338","20160509","1"
"766_52338","20160510","1"
"766_52338","20160511","1"
"766_52338","20160512","1"
"766_52338","20160513","1"
"766_53126","20160314","1"
"766_53126","20160315","1"
"766_53126","20160316","1"
"766_53126","20160317","1"
"766_53126","20160318","1"
"766_53126","20160321","1"
"766_53126","20160322","1"
"766_53126","20160323","1"
"766_53126","20160329","1"
"766_53126","20160330","1"
"766_53126","20160331","1"
"766_53126","20160401","1"
"766_53126","20160404","1"
"766_53126","20160405","1"
"766_53126","20160406","1"
"766_53126","20160407","1"
"766_53126","20160408","1"
"766_53126","20160411","1"
"766_53126","20160412","1"
"766_53126","20160413","1"
"766_53126","20160414","1"
"766_53126","20160415","1"
"766_53126","20160418","1"
"766_53126","20160419","1"
"766_53126","20160420","1"
"766_53126","20160421","1"
"766_53126","20160422","1"
"766_53126","20160426","1"
"766_53126","20160427","1"
"766_53126","20160428","1"
"766_53126","20160429","1"
"766_53126","20160502","1"
"766_53126","20160503","1"
"766_53126","20160504","1"
"766_53126","20160505","1"
"766_53126","20160506","1"
"766_53126","20160509","1"
"766_53126","20160510","1"
"766_53126","20160511","1"
"766_53126","20160512","1"
"766_53126","20160513","1"
"766_53127","20160320","1"
"766_53127","20160327","1"
"766_53127","20160328","1"
"766_53127","20160403","1"
"766_53127","20160410","1"
"766_53127","20160417","1"
"766_53127","20160424","1"
"766_53127","20160425","1"
"766_53127","20160508","1"
"766_53128","20160319","1"
"766_53128","20160324","1"
"766_53128","20160325","1"
"766_53128","20160326","1"
"766_53128","20160402","1"
"766_53128","20160409","1"
"766_53128","20160416","1"
"766_53128","20160423","1"
"766_53128","20160430","1"
"766_53128","20160507","1"
"766_53128","20160514","1"
"766_53637","20160314","1"
"766_53637","20160315","1"
"766_53637","20160316","1"
"766_53637","20160317","1"
"766_53637","20160318","1"
"766_53637","20160321","1"
"766_53637","20160322","1"
"766_53637","20160323","1"
"766_53637","20160329","1"
"766_53637","20160330","1"
"766_53637","20160331","1"
"766_53637","20160401","1"
"766_53637","20160404","1"
"766_53637","20160405","1"
"766_53637","20160406","1"
"766_53637","20160407","1"
"766_53637","20160408","1"
"766_53637","20160411","1"
"766_53637","20160412","1"
"766_53637","20160413","1"
"766_53637","20160414","1"
"766_53637","20160415","1"
"766_53637","20160418","1"
"766_53637","20160419","1"
"766_53637","20160420","1"
"766_53637","20160421","1"
"766_53637","20160422","1"
"766_53637","20160426","1"
"766_53637","20160427","1"
"766_53637","20160428","1"
"766_53637","20160429","1"
"766_53637","20160502","1"
"766_53637","20160503","1"
"766_53637","20160504","1"
"766_53637","20160505","1"
"766_53637","20160506","1"
"766_53637","20160509","1"
"766_53637","20160510","1"
"766_53637","20160511","1"
"766_53637","20160512","1"
"766_53637","20160513","1"
"766_54296","20160314","1"
"766_54296","20160315","1"
"766_54296","20160316","1"
"766_54296","20160317","1"
"766_54296","20160318","1"
"766_54296","20160321","1"
"766_54296","20160322","1"
"766_54296","20160323","1"
"766_54296","20160330","1"
"766_54296","20160331","1"
"766_54296","20160401","1"
"766_54296","20160404","1"
"766_54296","20160405","1"
"766_54296","20160406","1"
"766_54296","20160407","1"
"766_54296","20160408","1"
"766_54296","20160411","1"
"766_54296","20160412","1"
"766_54296","20160413","1"
"766_54296","20160414","1"
"766_54296","20160415","1"
"766_54296","20160418","1"
"766_54296","20160419","1"
"766_54296","20160420","1"
"766_54296","20160421","1"
"766_54296","20160422","1"
"766_54296","20160426","1"
"766_54296","20160427","1"
"766_54296","20160428","1"
"766_54296","20160429","1"
"766_54296","20160502","1"
"766_54296","20160503","1"
"766_54296","20160504","1"
"766_54296","20160505","1"
"766_54296","20160506","1"
"766_54296","20160509","1"
"766_54296","20160510","1"
"766_54296","20160511","1"
"766_54296","20160512","1"
"766_54296","20160513","1"
"766_55129","20160324","1"
"766_55129","20160325","1"
"766_55898","20160314","1"
"766_55898","20160315","1"
"766_55898","20160316","1"
"766_55898","20160317","1"
"766_55898","20160318","1"
"766_55898","20160321","1"
"766_55898","20160322","1"
"766_55898","20160323","1"
"766_55898","20160329","1"
"766_55898","20160330","1"
"766_55898","20160331","1"
"766_55898","20160401","1"
"766_55898","20160404","1"
"766_55898","20160405","1"
"766_55898","20160406","1"
"766_55898","20160407","1"
"766_55898","20160408","1"
"766_55898","20160411","1"
"766_55898","20160412","1"
"766_55898","20160413","1"
"766_55898","20160414","1"
"766_55898","20160415","1"
"766_55898","20160418","1"
"766_55898","20160419","1"
"766_55898","20160420","1"
"766_55898","20160421","1"
"766_55898","20160422","1"
"766_55898","20160426","1"
"766_55898","20160427","1"
"766_55898","20160428","1"
"766_55898","20160429","1"
"766_55898","20160502","1"
"766_55898","20160503","1"
"766_55898","20160504","1"
"766_55898","20160505","1"
"766_55898","20160506","1"
"766_55898","20160509","1"
"766_55898","20160510","1"
"766_55898","20160511","1"
"766_55898","20160512","1"
"766_55898","20160513","1"
"766_55899","20160319","1"
"766_55899","20160326","1"
