route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"309","MOBILITA","309","","3","FFFFFF","000000"
"31","MOBILITA","31","","3","FFFFFF","000000"
"310","MOBILITA","310","","3","FFFFFF","000000"
"311","MOBILITA","311","","3","FFFFFF","000000"
"313","MOBILITA","313","","3","FFFFFF","000000"
"314","MOBILITA","314","","3","FFFFFF","000000"
"319","MOBILITA","319","","3","FFFFFF","000000"
"32","MOBILITA","32","","3","FFFFFF","000000"
"33","MOBILITA","33","","3","FFFFFF","000000"
"334","MOBILITA","334","","3","FFFFFF","000000"
"336","MOBILITA","336","","3","FFFFFF","000000"
"337","MOBILITA","337","","3","FFFFFF","000000"
"338","MOBILITA","338","","3","FFFFFF","000000"
"339","MOBILITA","339","","3","FFFFFF","000000"
"34","MOBILITA","34","","3","FFFFFF","000000"
"340","MOBILITA","340","","3","FFFFFF","000000"
"341","MOBILITA","341","","3","FFFFFF","000000"
"342","MOBILITA","342","","3","FFFFFF","000000"
"343","MOBILITA","343","","3","FFFFFF","000000"
"344","MOBILITA","344","","3","FFFFFF","000000"
"349","MOBILITA","349","","3","FFFFFF","000000"
"350","MOBILITA","350","","3","FFFFFF","000000"
"351","MOBILITA","351","","3","FFFFFF","000000"
"360","MOBILITA","360","","3","FFFFFF","000000"
"38","MOBILITA","38","","3","FFFFFF","000000"
"3B","MOBILITA","3B","","3","FFFFFF","000000"
"40","MOBILITA","40","","3","FFFFFF","000000"
"404","MOBILITA","404","","3","FFFFFF","000000"
"409","MOBILITA","409","","3","FFFFFF","000000"
"412","MOBILITA","412","","3","FFFFFF","000000"
"435","MOBILITA","435","","3","FFFFFF","000000"
"437","MOBILITA","437","","3","FFFFFF","000000"
"44","MOBILITA","44","","3","FFFFFF","000000"
"441","MOBILITA","441","","3","FFFFFF","000000"
"443","MOBILITA","443","","3","FFFFFF","000000"
"444","MOBILITA","444","","3","FFFFFF","000000"
"445","MOBILITA","445","","3","FFFFFF","000000"
"446","MOBILITA","446","","3","FFFFFF","000000"
"447","MOBILITA","447","","3","FFFFFF","000000"
"448","MOBILITA","448","","3","FFFFFF","000000"
"44F","MOBILITA","44F","","3","FFFFFF","000000"
"450","MOBILITA","450","","3","FFFFFF","000000"
"451","MOBILITA","451","","3","FFFFFF","000000"
"46","MOBILITA","46","","3","FFFFFF","000000"
"46B","MOBILITA","46B","","3","FFFFFF","000000"
"49","MOBILITA","49","","3","FFFFFF","000000"
"490","MOBILITA","490","","3","FFFFFF","000000"
"492","MOBILITA","492","","3","FFFFFF","000000"
"495","MOBILITA","495","","3","FFFFFF","000000"
"50","MOBILITA","50","","3","FFFFFF","000000"
"500","MOBILITA","500","","3","FFFFFF","000000"
"501","MOBILITA","501","","3","FFFFFF","000000"
"502","MOBILITA","502","","3","FFFFFF","000000"
"503","MOBILITA","503","","3","FFFFFF","000000"
"504","MOBILITA","504","","3","FFFFFF","000000"
"505","MOBILITA","505","","3","FFFFFF","000000"
"506","MOBILITA","506","","3","FFFFFF","000000"
"507","MOBILITA","507","","3","FFFFFF","000000"
"508","MOBILITA","508","","3","FFFFFF","000000"
"509","MOBILITA","509","","3","FFFFFF","000000"
"51","MOBILITA","51","","3","FFFFFF","000000"
"514","MOBILITA","514","","3","FFFFFF","000000"
"515","MOBILITA","515","","3","FFFFFF","000000"
"52","MOBILITA","52","","3","FFFFFF","000000"
"53","MOBILITA","53","","3","FFFFFF","000000"
"541","MOBILITA","541","","3","FFFFFF","000000"
"542","MOBILITA","542","","3","FFFFFF","000000"
"543","MOBILITA","543","","3","FFFFFF","000000"
"544","MOBILITA","544","","3","FFFFFF","000000"
"545","MOBILITA","545","","3","FFFFFF","000000"
"546","MOBILITA","546","","3","FFFFFF","000000"
"548","MOBILITA","548","","3","FFFFFF","000000"
"551","MOBILITA","551","","3","FFFFFF","000000"
"552","MOBILITA","552","","3","FFFFFF","000000"
"556","MOBILITA","556","","3","FFFFFF","000000"
"556F","MOBILITA","556F","","3","FFFFFF","000000"
"557","MOBILITA","557","","3","FFFFFF","000000"
"558","MOBILITA","558","","3","FFFFFF","000000"
"559","MOBILITA","559","","3","FFFFFF","000000"
"590","MOBILITA","590","","3","FFFFFF","000000"
"60","MOBILITA","60","","3","FFFFFF","000000"
"60L","MOBILITA","60L","","3","FFFFFF","000000"
"61","MOBILITA","61","","3","FFFFFF","000000"
"62","MOBILITA","62","","3","FFFFFF","000000"
"628","MOBILITA","628","","3","FFFFFF","000000"
"63","MOBILITA","63","","3","FFFFFF","000000"
"64","MOBILITA","64","","3","FFFFFF","000000"
